                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4128,                0.60808,                0.89628,                 2.8152,              0.0033301,              0.0033301,              0.0033301
                      2,                  1.579,                0.62787,                0.90657,                  2.766,              0.0065315,              0.0065315,              0.0065315
                      3,                 1.5452,                0.50911,                0.85748,                 2.8617,              0.0096009,              0.0096009,              0.0096009
                      4,                 1.6809,                0.56928,                0.88519,                 2.8083,               0.009406,               0.009406,               0.009406
                      5,                 1.5498,                0.56215,                0.86778,                 2.8114,               0.009208,               0.009208,               0.009208
                      6,                 1.4198,                0.59699,                0.88994,                 2.7793,                0.00901,                0.00901,                0.00901
                      7,                 1.3119,                0.59462,                0.88836,                 2.7639,               0.008812,               0.008812,               0.008812
                      8,                 1.2162,                0.62154,                0.88678,                 2.7331,               0.008614,               0.008614,               0.008614
                      9,                 1.0865,                0.59857,                0.88203,                 2.7343,               0.008416,               0.008416,               0.008416
                     10,                 1.0141,                0.62787,                0.90103,                 2.7133,               0.008218,               0.008218,               0.008218
                     11,                0.93127,                0.61679,                0.89628,                  2.711,                0.00802,                0.00802,                0.00802
                     12,                0.89063,                0.60966,                0.88757,                 2.7129,               0.007822,               0.007822,               0.007822
                     13,                0.81975,                0.62154,                0.90182,                 2.7001,               0.007624,               0.007624,               0.007624
                     14,                0.76703,                0.64608,                0.90578,                 2.6785,               0.007426,               0.007426,               0.007426
                     15,                0.70676,                0.65321,                 0.9042,                 2.6652,               0.007228,               0.007228,               0.007228
                     16,                0.68616,                0.63737,                0.90261,                 2.6755,                0.00703,                0.00703,                0.00703
                     17,                0.64802,                0.65637,                0.91291,                 2.6622,               0.006832,               0.006832,               0.006832
                     18,                0.60028,                0.64766,                0.91686,                 2.6622,               0.006634,               0.006634,               0.006634
                     19,                0.57113,                0.66192,                0.90657,                  2.653,               0.006436,               0.006436,               0.006436
                     20,                0.54885,                0.66033,                0.91053,                  2.654,               0.006238,               0.006238,               0.006238
                     21,                0.52046,                0.65717,                0.91528,                 2.6497,                0.00604,                0.00604,                0.00604
                     22,                 0.5109,                0.66587,                0.90816,                 2.6484,               0.005842,               0.005842,               0.005842
                     23,                0.48109,                0.66271,                0.90578,                 2.6434,               0.005644,               0.005644,               0.005644
                     24,                0.46631,                  0.673,                0.90499,                 2.6369,               0.005446,               0.005446,               0.005446
                     25,                0.43534,                0.65954,                0.91845,                 2.6485,               0.005248,               0.005248,               0.005248
                     26,                0.42375,                0.67538,                 0.9034,                 2.6347,                0.00505,                0.00505,                0.00505
                     27,                0.41566,                0.65321,                0.91132,                 2.6492,               0.004852,               0.004852,               0.004852
                     28,                0.39382,                 0.6825,                0.91449,                 2.6361,               0.004654,               0.004654,               0.004654
                     29,                0.36823,                0.66825,                0.90895,                 2.6366,               0.004456,               0.004456,               0.004456
                     30,                0.36126,                0.66904,                0.90895,                 2.6376,               0.004258,               0.004258,               0.004258
                     31,                0.33266,                0.68013,                0.90974,                 2.6289,                0.00406,                0.00406,                0.00406
                     32,                0.32103,                0.68884,                0.90895,                 2.6184,               0.003862,               0.003862,               0.003862
                     33,                 0.3057,                0.68171,                0.90974,                 2.6225,               0.003664,               0.003664,               0.003664
                     34,                0.30446,                0.68804,                0.90499,                 2.6216,               0.003466,               0.003466,               0.003466
                     35,                0.27989,                0.68329,                0.90895,                 2.6262,               0.003268,               0.003268,               0.003268
                     36,                0.27052,                0.67617,                0.90499,                 2.6257,                0.00307,                0.00307,                0.00307
                     37,                0.26764,                0.68329,                0.90816,                 2.6213,               0.002872,               0.002872,               0.002872
                     38,                0.25397,                0.69675,                0.90974,                 2.6126,               0.002674,               0.002674,               0.002674
                     39,                0.23542,                0.68884,                0.91766,                 2.6146,               0.002476,               0.002476,               0.002476
                     40,                0.22709,                 0.6825,                0.91766,                 2.6163,               0.002278,               0.002278,               0.002278
                     41,                0.22576,                0.67854,                0.91132,                 2.6185,                0.00208,                0.00208,                0.00208
                     42,                0.19956,                0.68329,                0.91528,                 2.6215,               0.001882,               0.001882,               0.001882
                     43,                0.20017,                0.68171,                0.92082,                 2.6243,               0.001684,               0.001684,               0.001684
                     44,                0.19094,                0.68329,                0.92003,                 2.6184,               0.001486,               0.001486,               0.001486
                     45,                0.17143,                0.68646,                0.92241,                 2.6112,               0.001288,               0.001288,               0.001288
                     46,                0.17698,                0.68725,                0.92241,                 2.6079,                0.00109,                0.00109,                0.00109
                     47,                0.16177,                0.68725,                0.92082,                 2.6148,               0.000892,               0.000892,               0.000892
                     48,                0.15942,                0.68963,                0.92082,                 2.6153,               0.000694,               0.000694,               0.000694
                     49,                0.14887,                0.69359,                0.91686,                  2.614,               0.000496,               0.000496,               0.000496
                     50,                0.13551,                  0.692,                0.91607,                 2.6133,               0.000298,               0.000298,               0.000298
